# Rime user dictionary
#@/db_name	zhung.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	12045
#@/user_id	stella
a1 	啊	c=65 d=4.31181 t=12045
na4 geo4 	那個	c=11 d=0.923116 t=12045
na4 jau4 	那叫	c=1 d=0.465334 t=12045
na4 muo3 	那麼	c=5 d=0.301359 t=12045
na4 muo3 qang2 	那麼強	c=1 d=0.189191 t=12045
na4 ni3 	那你	c=4 d=1.01664 t=12045
na4 ni3 hai2 	那你還	c=1 d=0.0513033 t=12045
na4 pian1 	那篇	c=1 d=0.140156 t=12045
na4 shy4 	那是	c=1 d=0.140156 t=12045
na4 yang4 	那樣	c=1 d=0.173774 t=12045
na4 yi1 	那一	c=0 d=0.0448482 t=12045
na4 yi1 ben3 	那一本	c=1 d=0.341298 t=12045
na4 yi1 duan4 	那一段	c=2 d=0.60091 t=12045
na4 yi1 geo4 	那一個	c=1 d=0.429557 t=12045
na4 yi1 ja1 	那一家	c=1 d=0.965605 t=12045
na4 yi1 nian2 	那一年	c=2 d=0.99005 t=12045
na4 yi1 ti2 	那一題	c=2 d=0.505163 t=12045
na4 ziou4 	那就	c=6 d=1.04431 t=12045
nai4 shou4 	耐受	c=0 d=0.0657047 t=12045
nai4 shy3 	耐使	c=1 d=0.00909528 t=12045
nan2 dau4 	難道	c=1 d=0.100761 t=12045
nan2 du4 	難度	c=1 d=0.0776922 t=12045
nan2 fang1 	南方	c=4 d=1.8534 t=12045
nan2 le1 	男的	c=1 d=0.197899 t=12045
nan2 shen2 	男神	c=1 d=0.0231676 t=12045
nan2 sung4 	南宋	c=3 d=1.76996 t=12045
nan2 yang2 san1 gu4 cing2 heo2 chen1 	南陽三顧情何深	c=1 d=0.882497 t=12045
nau3 	惱	c=1 d=0.00344787 t=12045
nau3 zy3 	腦子	c=1 d=0.171187 t=12045
nen4 	恁	c=25 d=1.33746 t=12045
nen4 bu1 	恁不	c=1 d=0.818731 t=12045
neng2 	能	c=16 d=1.83501 t=12045
neng2 bu1 neng2 	能不能	c=2 d=0.878095 t=12045
neng2 gou4 	能夠	c=5 d=0.712454 t=12045
neng2 li1 	能力	c=5 d=0.71177 t=12045
neng2 shy3 	能使	c=1 d=0.447088 t=12045
neng2 yi3 	能以	c=1 d=0.755784 t=12045
ni1 ju1 	匿居	c=1 d=0.00390694 t=12045
ni1 ming2 	匿名	c=2 d=0.0589044 t=12045
ni2 ke1 	尼克	c=0 d=0.00275983 t=12045
ni2 ke1 sian1 an4 	尼克酰胺	c=1 d=0.0277367 t=12045
ni2 ke1 suan1 	尼克酸	c=1 d=0.0273237 t=12045
ni2 rhy1 li4 ya4 	尼日利亞	c=1 d=0.481909 t=12045
ni3 	你	c=124 d=7.52296 t=12045
ni3 bu1 	你不	c=3 d=0.227988 t=12045
ni3 bu1 shei4 	你不睡	c=1 d=0.0639279 t=12045
ni3 bu1 shy4 	你不是	c=1 d=0.965605 t=12045
ni3 dou3 	你都	c=1 d=0.540641 t=12045
ni3 dung3 	你懂	c=0 d=0.00115047 t=12045
ni3 dung3 le1 	你懂的	c=2 d=1.01139 t=12045
ni3 guan3 	你管	c=0 d=0.0209088 t=12045
ni3 hai2 	你還	c=2 d=0.107665 t=12045
ni3 hau3 	你好	c=1 d=0.474734 t=12045
ni3 ji1 	你給	c=1 d=0.362402 t=12045
ni3 kan1 	你看	c=5 d=0.740818 t=12045
ni3 keo3 yi3 	你可以	c=1 d=0.606531 t=12045
ni3 lai2 	你來	c=1 d=0.0611149 t=12045
ni3 le1 	你的	c=4 d=0.378637 t=12045
ni3 le1 hua4 	你的話	c=1 d=0.085435 t=12045
ni3 le1 shy4 	你的事	c=1 d=0.97531 t=12045
ni3 mu2 you3 	你沒有	c=1 d=0.239309 t=12045
ni3 na4 	你那	c=1 d=0.066205 t=12045
ni3 neng2 	你能	c=1 d=0.000199439 t=12045
ni3 qu4 	你去	c=1 d=0.00392653 t=12045
ni3 shuo1 	你說	c=0 d=0.0597501 t=12045
ni3 shuo1 le1 	你說的	c=1 d=0.194952 t=12045
ni3 shuo1 le1 hua4 	你說的話	c=1 d=0.600496 t=12045
ni3 shuo1 liau3 	你說了	c=1 d=0.960789 t=12045
ni3 shy4 	你是	c=4 d=0.530671 t=12045
ni3 sian1 	你先	c=1 d=0.117655 t=12045
ni3 siang3 	你想	c=1 d=0.08291 t=12045
ni3 yau1 shy4 	你要是	c=2 d=0.443184 t=12045
ni3 ye3 	你也	c=2 d=0.782705 t=12045
ni3 you3 	你有	c=3 d=0.0735095 t=12045
ni3 zheo4 jau4 	你這叫	c=1 d=0.0170774 t=12045
ni3 ziou4 	你就	c=1 d=0.00869506 t=12045
ni3 zy4 ji3 	你自己	c=0 d=0.00471227 t=12045
ni4 liou2 	逆流	c=0 d=0.0118837 t=12045
ni4 liou2 xang4 shang4 	逆流向上	c=1 d=0.119433 t=12045
ni4 zhuan3 lu1 	逆轉錄	c=2 d=0.122244 t=12045
ni4 zhuan3 lu1 mei2 	逆轉錄酶	c=1 d=0.748264 t=12045
nian2 	年	c=4 d=0.980199 t=12045
nian2 fu4 	黏附	c=1 d=0.841932 t=12045
nian2 fu4 fen1 zy3 	黏附分子	c=6 d=3.13523 t=12045
nian2 ling2 	年齡	c=1 d=0.114178 t=12045
nian2 muo2 	黏膜	c=4 d=2.1248 t=12045
nian2 muo2 mian3 yi1 	黏膜免疫	c=1 d=0.055299 t=12045
nian2 muo2 shang4 pi2 	黏膜上皮	c=2 d=0.327915 t=12045
nian2 qing1 	年輕	c=1 d=0.0544757 t=12045
niang2 lia3 	娘倆	c=1 d=0.0620385 t=12045
niau4 pen2 	尿盆	c=1 d=0.460704 t=12045
niau4 su4 	尿素	c=1 d=0.0332068 t=12045
niou2 rhen2 	牛人	c=2 d=0.726149 t=12045
niou3 je1 	扭結	c=1 d=0.0808629 t=12045
niu3 	女	c=1 d=0.0415857 t=12045
niung2 du4 	濃度	c=4 d=0.748264 t=12045
nu3 li1 	努力	c=1 d=0.349938 t=12045
nuan3 	暖	c=0 d=0.099005 t=12045
nui4 	內	c=2 d=0.299692 t=12045
nui4 bu4 	內部	c=3 d=0.554327 t=12045
nui4 fen1 mi1 	內分泌	c=1 d=0.214381 t=12045
nui4 han2 zy3 	內含子	c=1 d=0.172907 t=12045
nui4 pi2 	內皮	c=1 d=0.847822 t=12045
nui4 pi2 si4 bau1 	內皮細胞	c=2 d=0.88692 t=12045
nui4 yuan2 	內源	c=0 d=0.0810584 t=12045
nui4 yuan2 sing4 	內原性	c=-1 d=0 t=12045
nui4 yuan2 sing4 	內源性	c=1 d=0.814647 t=12045
nui4 yung2 	內容	c=2 d=0.839457 t=12045
nui4 zhy3 	內酯	c=1 d=0.0417941 t=12045
nui4 zhy4 	內置	c=2 d=0.839457 t=12045
nung2 yuo1 	農藥	c=2 d=0.463385 t=12045
nung4 	弄	c=5 d=0.453151 t=12045
nung4 dian3 	弄點	c=2 d=0.270946 t=12045
nung4 huai4 liau3 	弄壞了	c=1 d=0.0114473 t=12045
nung4 sha4 	弄啥	c=1 d=0.0518189 t=12045
o2 	哦	c=5 d=1.02515 t=12045
ou1 lai2 ya3 	歐萊雅	c=1 d=0.0963276 t=12045
ou1 liou3 yang2 	歐柳陽	c=3 d=0.39419 t=12045
ou1 wun2 	歐文	c=2 d=0.735482 t=12045
ou3 el3 	偶爾	c=1 d=0.358796 t=12045
pa2 ke1 	帕克	c=1 d=0.117655 t=12045
pa2 xing2 	爬行	c=0 d=0.0790571 t=12045
pa2 xing2 muo2 xing2 	爬行模型	c=1 d=0.794534 t=12045
pa4 ni3 	怕你	c=1 d=0.0132999 t=12045
pa4 sha4 	怕啥	c=1 d=0.380983 t=12045
pa4 wo3 	怕我	c=1 d=0.00353515 t=12045
pai2 ban3 	排版	c=1 d=0.382893 t=12045
pai2 bu4 	排布	c=6 d=0.577728 t=12045
pai2 chy1 	排斥	c=2 d=1.65336 t=12045
pai2 lie1 	排列	c=0 d=0.0818731 t=12045
pai2 lie1 shun4 siu4 	排列順序	c=3 d=2.08983 t=12045
pai2 lie1 zu3 heo2 	排列組合	c=2 d=0.254448 t=12045
pai2 zuo4 wui4 	排座位	c=1 d=0.0678809 t=12045
pai4 sheng1 	派生	c=0 d=0.0621885 t=12045
pai4 sheng1 chu1 	派生出	c=1 d=0.625002 t=12045
pan4 duan4 	判斷	c=11 d=1.71446 t=12045
pan4 jun1 	叛軍	c=1 d=0.290835 t=12045
pang2 	旁	c=1 d=0.211189 t=12045
pang2 da4 	龐大	c=1 d=0.501576 t=12045
pang2 lu4 	旁路	c=1 d=0.0699075 t=12045
pang2 lu4 ji1 huo2 tu2 jing4 	旁路激活途徑	c=1 d=0.0893673 t=12045
pang2 lu4 tu2 jing4 	旁路途徑	c=3 d=0.302685 t=12045
pau2 	跑	c=2 d=1.79883 t=12045
pau2 bu1 chu1 	跑不出	c=1 d=0.0699482 t=12045
pau2 bu4 	跑步	c=2 d=1.76658 t=12045
pau2 diou1 	跑丟	c=1 d=0.740818 t=12045
pe1 zhau4 	拍照	c=1 d=0.346456 t=12045
pei1 	胚	c=0 d=0.148953 t=12045
pei1 tai1 	胚胎	c=1 d=0.0437178 t=12045
pei1 xi4 jai1 duan4 	胚系階段	c=1 d=0.729789 t=12045
pei1 xi4 ji1 yin1 	胚系基因	c=1 d=0.767206 t=12045
pei2 ke1 	陪客	c=1 d=0.00369786 t=12045
pei2 yang3 	培養	c=1 d=0.0153752 t=12045
pei4 dui4 	配對	c=7 d=1.33942 t=12045
pei4 ti3 	配體	c=1 d=0.923116 t=12045
pei4 ti3 fen1 zy3 	配體分子	c=1 d=0.878095 t=12045
pei4 zhy4 	配置	c=2 d=0.690734 t=12045
pen1 pen1 	噴噴	c=1 d=0.12493 t=12045
peng2 you3 	朋友	c=1 d=0.000884932 t=12045
peng2 you3 quan1 	朋友圈	c=1 d=0.591555 t=12045
pi1 	批	c=1 d=0.740818 t=12045
pi1 rhui4 fang1 mau2 cai2 ji1 huan4 	丕睿芳髦才及奐	c=1 d=0.946485 t=12045
pi2 	皮	c=2 d=0.2214 t=12045
pi2 cy3 	彼此	c=1 d=0.657047 t=12045
pi2 fu1 	皮膚	c=1 d=0.13332 t=12045
pi2 xou1 	貔貅	c=1 d=0.00923273 t=12045
pi3 ding4 	吡啶	c=2 d=0.058157 t=12045
pi3 duo4 ciuan2 	吡哆醛	c=1 d=0.031273 t=12045
pian1 du1 	偏裻	c=-1 d=0 t=12045
pian1 du4 	偏度	c=3 d=0.187187 t=12045
pian1 pang2 	偏旁	c=1 d=0.045502 t=12045
pian2 huan2 	駢環	c=1 d=0.0338776 t=12045
pian4 	片	c=0 d=0.0301194 t=12045
pian4 duan4 	片段	c=7 d=0.477019 t=12045
piau4 fang2 	票房	c=1 d=1.09418 t=12045
pie3 	撇	c=0 d=6.85748e-05 t=12045
pin1 sie3 	拼寫	c=1 d=0.240508 t=12045
pin1 yin1 	拼音	c=1 d=0.000918304 t=12045
pin1 yin1 shu1 rhu1 fa1 	拼音輸入法	c=2 d=1.7872 t=12045
pin2 liu1 	頻率	c=3 d=0.394554 t=12045
pin3 	品	c=1 d=0.239309 t=12045
ping1 pang1 qou2 	乒乓球	c=3 d=1.62374 t=12045
ping1 pang1 qou2 sai4 	乒乓球賽	c=1 d=0.941765 t=12045
ping2 fang1 gung1 li3 	平方公里	c=2 d=0.947599 t=12045
ping2 jun1 	平均	c=2 d=0.275271 t=12045
ping2 lun4 	評論	c=1 d=0.447088 t=12045
ping2 yuan2 	平原	c=1 d=0.279431 t=12045
ping2 ziung1 xa2 ying3 	萍蹤俠影	c=1 d=0.0605068 t=12045
pu3 bian4 	普遍	c=3 d=0.511416 t=12045
pu3 bian4 cai3 yung4 	普遍採用	c=1 d=0.075774 t=12045
pu3 du4 da4 xuo2 	普渡大學	c=1 d=0.146607 t=12045
pu3 tung1 hua4 	普通話	c=3 d=0.733447 t=12045
pu3 xi4 	譜系	c=1 d=0.550986 t=12045
qan1 man2 	牽蔓	c=-1 d=0 t=12045
qan1 shou3 	牽手	c=2 d=1.82387 t=12045
qan2 ma1 	乾媽	c=-1 d=0 t=12045
qang1 	腔	c=0 d=0.0398519 t=12045
qang2 	強	c=0 d=0.0188247 t=12045
qang2 dui4 	強隊	c=1 d=0.10383 t=12045
qang2 rhuo1 	強弱	c=1 d=0.822835 t=12045
qang2 zhy4 	強制	c=2 d=1.50107 t=12045
qau2 dan1 	喬丹	c=1 d=0.680451 t=12045
qau3 ke1 li1 	巧克力	c=1 d=0.927743 t=12045
qi1 che1 	攲側	c=-1 d=0 t=12045
qi2 	其	c=18 d=2.43437 t=12045
qi2 	崎	c=0 d=0.00426384 t=12045
qi2 cheo1 	騎車	c=3 d=1.15105 t=12045
qi2 hou4 	其後	c=1 d=0.108609 t=12045
qi2 jan1 	期間	c=2 d=0.652402 t=12045
qi2 muo1 	期末	c=1 d=0.0608101 t=12045
qi2 shy2 	其實	c=9 d=0.545425 t=12045
qi2 ta3 	其他	c=17 d=1.50244 t=12045
qi2 ta3 jan3 ji1 	其他鹼基	c=1 d=0.913931 t=12045
qi2 ta3 rhen2 	其他人	c=1 d=0.0184074 t=12045
qi2 ta3 si4 bau1 	其他細胞	c=1 d=0.239309 t=12045
qi2 yi4 	奇異	c=1 d=0.955997 t=12045
qi2 zhu3 yau1 zuo1 yung4 	其主要作用	c=-1 d=0 t=12045
qi2 zhung1 	其中	c=4 d=0.873716 t=12045
qi3 	起	c=5 d=1.91032 t=12045
qi3 bu1 lai2 	起不來	c=2 d=1.0297 t=12045
qi3 dian3 	起點	c=1 d=0.373439 t=12045
qi3 dung4 	啓動	c=4 d=1.43797 t=12045
qi3 dung4 	起動	c=1 d=0.425283 t=12045
qi3 dung4 zhuan3 lu1 	啓動轉錄	c=1 d=0.436049 t=12045
qi3 dung4 zy3 	啓動子	c=14 d=4.15258 t=12045
qi3 eo2 	企鵝	c=1 d=0.00856561 t=12045
qi3 lai2 	起來	c=2 d=1.81834 t=12045
qi3 shy3 	起始	c=6 d=1.39478 t=12045
qi3 shy3 bu4 wui4 	起始部位	c=1 d=0.10383 t=12045
qi3 shy3 dian3 	起始點	c=8 d=1.88563 t=12045
qi3 ye1 	企業	c=1 d=0.529935 t=12045
qi3 zhu3 yau1 zuo1 yung4 	起主要作用	c=1 d=0.985112 t=12045
qi3 zhung4 yau1 zuo1 yung4 	起重要作用	c=1 d=0.99005 t=12045
qi4 cheo1 zhan4 	汽車站	c=1 d=0.0850088 t=12045
qi4 guan1 	器官	c=0 d=0.0901543 t=12045
qi4 guan1 yi2 zhy1 	器官移植	c=0 d=0.0156453 t=12045
qing1 lian2 	輕鏈	c=5 d=3.22064 t=12045
qing1 yi1 	輕易	c=1 d=0.722527 t=12045
qing4 zhu1 	慶祝	c=1 d=0.729789 t=12045
qou2 dan4 be2 	球蛋白	c=1 d=0.996231 t=12045
qou2 ji2 xan4 	求極限	c=1 d=0.615697 t=12045
qou2 sing1 	球星	c=3 d=1.3419 t=12045
qou2 yuan2 	球員	c=1 d=0.136014 t=12045
qu1 	區	c=10 d=3.68277 t=12045
qu1 bie2 	區別	c=1 d=0.0530365 t=12045
qu1 duan4 	區段	c=1 d=0.177284 t=12045
qu1 fen1 	區分	c=2 d=1.9216 t=12045
qu1 jan1 	區間	c=3 d=0.807746 t=12045
qu1 sian4 	曲線	c=3 d=0.988267 t=12045
qu1 yu1 	區域	c=2 d=1.51357 t=12045
qu4 	去	c=32 d=10.8576 t=12045
qu4 bu1 qu4 	去不去	c=1 d=0.557106 t=12045
qu4 chung2 	去重	c=1 d=0.995012 t=12045
qu4 chy1 	去吃	c=3 d=0.964672 t=12045
qu4 diau4 	去掉	c=1 d=0.0340475 t=12045
qu4 mai3 	去買	c=2 d=0.909528 t=12045
qu4 na3 	去哪	c=1 d=0.0593087 t=12045
qu4 na3 el2 	去哪兒	c=2 d=0.724109 t=12045
qu4 nian2 	去年	c=3 d=0.132246 t=12045
quan1 	圈	c=1 d=0.0162445 t=12045
quan2 xan4 	權限	c=1 d=0.117068 t=12045
quan4 	勸	c=1 d=0.000161662 t=12045
que1 han4 	缺憾	c=1 d=0.000567086 t=12045
que1 shau3 	缺少	c=1 d=0.179066 t=12045
que1 shy1 	缺失	c=2 d=0.202596 t=12045
que1 siun3 	缺損	c=1 d=0.143704 t=12045
que1 sun1 	缺孫	c=-1 d=0 t=12045
qun2 	羣	c=0 d=0.0603506 t=12045
qun2 li3 	羣裏	c=2 d=0.932354 t=12045
qun2 ti3 	羣體	c=2 d=1.04151 t=12045
qung1 sie2 	傾斜	c=2 d=1.50803 t=12045
qung1 xang4 	傾向	c=0 d=0.023457 t=12045
qung1 xang4 cha1 cuo1 siou1 fu2 	傾向差錯修復	c=1 d=0.235746 t=12045
quo1 	卻	c=2 d=0.726149 t=12045
quo1 ding4 	確定	c=3 d=0.776029 t=12045
quo1 rhen4 	確認	c=2 d=0.758629 t=12045
quo1 shau3 	卻少	c=-1 d=0 t=12045
quo1 shy2 	確實	c=6 d=0.778801 t=12045
rhan2 shun4 je2 	冉順傑	c=2 d=0.810584 t=12045
rhan3 hou4 	然後	c=5 d=0.904837 t=12045
rhan3 she1 ti3 	染色體	c=9 d=1.22071 t=12045
rhang4 	讓	c=1 d=0.00141589 t=12045
rhang4 wo3 	讓我	c=1 d=0.404542 t=12045
rhen2 	人	c=13 d=1.50563 t=12045
rhen2 be2 si4 bau1 fen1 hua4 kang2 yuan2 	人白細胞分化抗原	c=1 d=0.474734 t=12045
rhen2 ja1 	人家	c=17 d=1.28327 t=12045
rhen2 lui4 	人類	c=1 d=0.960789 t=12045
rhen2 lui4 be2 si4 bau1 kang2 yuan2 	人類白細胞抗原	c=1 d=0.83527 t=12045
rhen2 lui4 ji1 yin1 zu3 	人類基因組	c=1 d=0.163654 t=12045
rhen2 min2 da4 xuo2 	人民大學	c=1 d=0.414783 t=12045
rhen2 sin1 	人心	c=1 d=0.20089 t=12045
rhen2 ti3 	人體	c=3 d=0.856415 t=12045
rhen2 wun2 	人文	c=1 d=0.00392653 t=12045
rhen2 xa4 	人下	c=-1 d=0 t=12045
rhen4 heo2 	任何	c=3 d=0.83527 t=12045
rhen4 shy1 	認識	c=0 d=0.00500366 t=12045
rhen4 wui2 	認爲	c=5 d=0.329401 t=12045
rhen4 yi4 	任意	c=1 d=0.127183 t=12045
rhen4 yi4 yi1 geo4 	任意一個	c=1 d=0.107528 t=12045
rheng2 	仍	c=1 d=0.279431 t=12045
rheng2 	扔	c=1 d=0.282239 t=12045
rheng2 rhan3 	仍然	c=2 d=0.052871 t=12045
rheo1 shen1 	熱身	c=1 d=0.582748 t=12045
rhu2 	如	c=1 d=0.000593188 t=12045
rhu2 cian2 shuo3 shu2 	如前所述	c=1 d=7.90975e-07 t=12045
rhu2 cy3 	如此	c=2 d=0.069442 t=12045
rhu2 cy3 yi1 lai2 	如此一來	c=1 d=0.423162 t=12045
rhu2 guo3 	如果	c=17 d=2.10152 t=12045
rhu2 heo2 	如何	c=4 d=0.975853 t=12045
rhuan3 eo1 	軟齶	c=0 d=0.00143357 t=12045
rhuan3 eo1 yin1 	軟齶音	c=2 d=0.02896 t=12045
rhuan3 jan4 	軟件	c=2 d=0.50409 t=12045
rhui4 dian3 	瑞典	c=1 d=0.0958472 t=12045
rhuo1 	若	c=2 d=0.782798 t=12045
rhy1 wun2 	日文	c=3 d=0.83527 t=12045
sai1 fen1 	噻吩	c=1 d=0.0328764 t=12045
sai1 zuo4 	噻唑	c=0 d=0.0955997 t=12045
sai1 zuo4 huan2 	噻唑環	c=1 d=0.960789 t=12045
sai4 	賽	c=1 d=0.704688 t=12045
san1 	三	c=3 d=0.979519 t=12045
san1 chung2 	三重	c=0 d=0.0355226 t=12045
san1 chung2 gung1 neng2 	三重功能	c=1 d=0.357007 t=12045
san1 dian3 	三點	c=0 d=0.00569831 t=12045
san1 geo4 	三個	c=5 d=1.63725 t=12045
san1 geo4 jai1 duan4 	三個階段	c=1 d=0.995012 t=12045
san1 geo4 rhen2 	三個人	c=1 d=0.970446 t=12045
san1 he2 gan1 suan1 chung2 fu1 kuo1 zhan3 	三核苷酸重複擴展	c=1 d=0.162026 t=12045
san1 he2 gan1 suan1 chung2 fu1 siu4 lie1 	三核苷酸重複序列	c=1 d=0.17552 t=12045
san1 lin2 suan1 	三磷酸	c=1 d=0.402524 t=12045
san1 lu4 	三路	c=1 d=0.146607 t=12045
san1 lui4 	三類	c=1 d=0.185444 t=12045
san1 nian2 	三年	c=1 d=0.104874 t=12045
san1 nian2 yi3 hou4 	三年以後	c=1 d=0.0182243 t=12045
san1 pin1 	三拼	c=2 d=2.07471 t=12045
san1 sy4 tian1 	三四天	c=1 d=0.0645703 t=12045
san1 sy4 zhung3 	三四種	c=1 d=0.0274607 t=12045
san1 tiau2 	三條	c=2 d=0.186667 t=12045
san1 wu3 	三五	c=1 d=0.0195457 t=12045
san1 wui4 	三位	c=1 d=0.543351 t=12045
san1 yin1 sing4 si4 bau1 	三陰性細胞	c=1 d=0.927743 t=12045
san1 zhung3 	三種	c=3 d=0.429804 t=12045
san3 bu4 	散步	c=1 d=0.551563 t=12045
san3 ja4 	散架	c=1 d=0.0105672 t=12045
sha1 dau4 	殺到	c=1 d=0.918512 t=12045
sha1 liau3 	殺了	c=2 d=1.80611 t=12045
sha1 shang1 	殺傷	c=5 d=1.12726 t=12045
sha1 shang1 ba4 si4 bau1 	殺傷靶細胞	c=1 d=0.375311 t=12045
sha1 shang1 si4 bau1 	殺傷細胞	c=1 d=0.937067 t=12045
sha1 shang1 sing4 	殺傷性	c=1 d=0.341298 t=12045
sha3 	傻	c=4 d=1.2827 t=12045
sha4 	啥	c=6 d=1.26744 t=12045
sha4 le1 	啥的	c=1 d=0.25924 t=12045
sha4 yang4 	啥樣	c=2 d=0.0207554 t=12045
sha4 yi4 sy1 	啥意思	c=2 d=0.480463 t=12045
shai1 siuan3 	篩選	c=1 d=0.436049 t=12045
shan1 chu2 	刪除	c=1 d=0.0247235 t=12045
shan1 rhen2 	山人	c=7 d=0.0161481 t=12045
shan1 rhen2 ciuan2 si1 ma3 	山人全息碼	c=3 d=0.697697 t=12045
shan1 shan1 	珊珊	c=0 d=0.00415857 t=12045
shan1 tou2 	山頭	c=3 d=0.674811 t=12045
shan3 	閃	c=1 d=0.130029 t=12045
shan4 shan4 	鄯善	c=1 d=0.790571 t=12045
shang1 liau3 	傷了	c=1 d=0.0845849 t=12045
shang1 zhu4 liau3 	傷住了	c=1 d=1 t=12045
shang4 	上	c=32 d=2.65009 t=12045
shang4 	尚	c=0 d=0.0778801 t=12045
shang4 ban1 	上班	c=1 d=0.207008 t=12045
shang4 bu1 cing1 chu3 	尚不清楚	c=1 d=0.782705 t=12045
shang4 geo4 yue1 	上個月	c=1 d=0.856415 t=12045
shang4 gu3 	上古	c=1 d=0.140858 t=12045
shang4 jau1 	上交	c=1 d=0.677057 t=12045
shang4 kuo4 	上課	c=4 d=0.365585 t=12045
shang4 le1 	上的	c=1 d=0.313486 t=12045
shang4 leo1 	上了	c=1 d=0.782705 t=12045
shang4 mian4 	上面	c=2 d=0.159614 t=12045
shang4 pi2 	上皮	c=1 d=0.613094 t=12045
shang4 pi2 si4 bau1 	上皮細胞	c=2 d=1.35418 t=12045
shang4 sai4 ji4 	上賽季	c=1 d=0.113042 t=12045
shang4 shu2 	上述	c=2 d=0.909373 t=12045
shang4 tian1 	上天	c=1 d=0.474734 t=12045
shang4 tou2 	上頭	c=1 d=0.282239 t=12045
shang4 wu3 	上午	c=2 d=0.99005 t=12045
shang4 xuo2 	上學	c=4 d=0.8492 t=12045
shang4 yi1 	上一	c=0 d=0.000299743 t=12045
shang4 yi1 hui2 	上一回	c=1 d=0.995012 t=12045
shang4 yi1 ju4 	上一句	c=1 d=0.00301245 t=12045
shang4 you2 	上游	c=4 d=0.813465 t=12045
shang4 you2 qi3 dung4 siu4 lie1 	上游啓動序列	c=1 d=0.197899 t=12045
shang4 you2 yin1 zy3 	上游因子	c=1 d=0.535261 t=12045
shang4 zhou1 	上週	c=3 d=0.790571 t=12045
shau3 	少	c=4 d=0.839974 t=12045
shau3 liang2 	少量	c=1 d=9.42245e-07 t=12045
shau3 vi2 	稍微	c=1 d=0.00154923 t=12045
shau3 yi1 dian3 	少一點	c=1 d=0.0867261 t=12045
shau3 yung4 	少用	c=1 d=0.158817 t=12045
she1 pu3 	色譜	c=2 d=0.319552 t=12045
she1 yin1 	色音	c=-1 d=0 t=12045
shei2 	誰	c=4 d=0.970982 t=12045
shei2 da4 shei2 siau3 	誰大誰小	c=1 d=0.235746 t=12045
shei2 dou3 	誰都	c=1 d=0.324652 t=12045
shei2 zhy1 dau4 	誰知道	c=1 d=0.0025415 t=12045
shei4 ba1 	睡吧	c=1 d=0.118245 t=12045
shei4 jau4 	睡覺	c=3 d=1.15832 t=12045
shei4 liau3 	睡了	c=2 d=0.254154 t=12045
shei4 yi1 hui4 el2 	睡一會兒	c=1 d=0.927743 t=12045
shen1 	身	c=1 d=0.0128424 t=12045
shen1 gau1 	身高	c=1 d=0.0689068 t=12045
shen1 ke1 	深刻	c=1 d=0.0266491 t=12045
shen1 ti3 	身體	c=1 d=0.265803 t=12045
shen2 qi2 	神奇	c=1 d=0.704688 t=12045
shen2 qi4 	神器	c=1 d=0.0209629 t=12045
shen2 sy4 	神似	c=1 d=0.000290183 t=12045
shen3 yi4 	審議	c=1 d=0.782705 t=12045
shen4 muo3 	甚麼	c=1 d=0.494109 t=12045
shen4 zhy4 	甚至	c=4 d=0.442486 t=12045
shen4 zhy4 shy4 	甚至是	c=1 d=0.718924 t=12045
sheng1 	昇	c=1 d=0.0218712 t=12045
sheng1 	生	c=2 d=0.0160027 t=12045
sheng1 bu1 shang4 qu4 	昇不上去	c=1 d=0.219808 t=12045
sheng1 chan3 	生產	c=1 d=0.0328764 t=12045
sheng1 cheng2 	生成	c=5 d=0.929342 t=12045
sheng1 gau1 	升高	c=2 d=1.04673 t=12045
sheng1 hou4 	生後	c=2 d=0.0896502 t=12045
sheng1 hua4 	生化	c=3 d=1.1425 t=12045
sheng1 hua4 zuo1 yung4 	生化作用	c=3 d=0.980199 t=12045
sheng1 jai4 yun4 	聲介韻	c=1 d=0.0216013 t=12045
sheng1 ji1 	升級	c=1 d=0.778801 t=12045
sheng1 li3 	生理	c=0 d=0.0913931 t=12045
sheng1 li3 siu1 yau1 	生理需要	c=1 d=0.537944 t=12045
sheng1 li3 tiau2 jan4 	生理條件	c=1 d=0.532592 t=12045
sheng1 li3 xuo2 	生理學	c=1 d=0.140858 t=12045
sheng1 li3 zuo1 yung4 	生理作用	c=1 d=0.918512 t=12045
sheng1 ming4 	生命	c=1 d=0.0526021 t=12045
sheng1 mu3 	聲母	c=8 d=2.33676 t=12045
sheng1 qi4 	生氣	c=2 d=1.36092 t=12045
sheng1 wu1 	生物	c=3 d=1.17959 t=12045
sheng1 wu1 da4 fen1 zy3 	生物大分子	c=1 d=0.360595 t=12045
sheng1 wu1 gung1 neng2 	生物功能	c=3 d=0.599916 t=12045
sheng1 wu1 heo2 cheng2 	生物合成	c=2 d=0.0699482 t=12045
sheng1 wu1 hua4 xuo2 	生物化學	c=4 d=2.83682 t=12045
sheng1 wu1 ji4 shu2 	生物技術	c=1 d=0.196912 t=12045
sheng1 wu1 shy4 dai4 	生物世代	c=1 d=0.178173 t=12045
sheng1 wu1 si4 bau1 	生物細胞	c=1 d=0.251579 t=12045
sheng1 wu1 sin4 si1 fen1 zy3 	生物信息分子	c=1 d=0.169483 t=12045
sheng1 wu1 su4 	生物素	c=2 d=0.0649361 t=12045
sheng1 wu1 xuo2 	生物學	c=6 d=1.76496 t=12045
